model_id,macrocycle_number,phase,rep_scheme,intensity_pct
1.3,6,intensification,7x4,
1.3,6,accumulation_2,"9,9,7,7,5,5",
1.3,6,intensification_2,"3,3,3,3,2,2,2,2",
1.3,7,accumulation,5x9,
1.3,7,intensification,8x5,
1.3,7,accumulation_2,"6,6,8,8,10,10",
1.3,7,intensification_2,12x3,
1.3,8,accumulation,5x7,
1.3,8,intensification,8x3,
1.3,8,accumulation_2,"8,8,6,6,4,4",
1.3,8,intensification_2,"5,3,1,5,3,1",
1.3,9,accumulation,5x11,
1.3,9,intensification,"9,9,7,7,5,5",
1.3,9,accumulation_2,6x10,
1.3,9,intensification_2,7x5,
1.3,10,accumulation,5x9,
1.3,10,intensification,7x5,
1.3,10,accumulation_2,"10,8,6,6,8,10",
1.3,10,intensification_2,10x3,
1.3,11,accumulation,6x10,
1.3,11,intensification,7x6,
1.3,11,accumulation_2,7x9,
1.3,11,intensification_2,10x4,
1.3,12,accumulation,5x8,
1.3,12,intensification,8x4,
1.3,12,accumulation_2,"9,9,7,7,5,5",
1.3,12,intensification_2,8x3,
1.3,13,accumulation,"12,10,8,8",
1.3,13,intensification,"7,7,5,5,3,3",
1.3,13,accumulation_2,5x8,
1.3,13,intensification_2,10x3,
1.3,14,accumulation,5x7,
1.3,14,intensification,8x3,
1.3,14,accumulation_2,"8,8,6,6,4,4",
1.3,14,intensification_2,10x2,
1.3,15,accumulation,5x8,
1.3,15,intensification,8x4,
1.3,15,accumulation_2,"9,7,5,5,7,9",
1.3,15,intensification_2,"5,5,4,4,3,3,2,2,1,1",
1.3,16,accumulation,5x6,
1.3,16,intensification,"3,3,3,3,2,2,2,2",
1.3,16,accumulation_2,7x5,
1.3,16,intensification_2,"3,2,1,3,2,1,3,2,1",
2.1,1,accumulation,3x11,
2.1,1,intensification,3x7,
2.1,1,accumulation_2,"12,10,8,8",
2.1,1,intensification_2,4x5,
2.1,2,accumulation,3x9,
2.1,2,intensification,4x5,
2.1,2,accumulation_2,"11,9,7,5",
2.1,2,intensification_2,6x3,
2.1,3,accumulation,4x10,
2.1,3,intensification,4x6,
2.1,3,accumulation_2,"10,10,8,8,8",
2.1,3,intensification_2,5x4,
2.1,4,accumulation,3x8,
2.1,4,intensification,4x4,
2.1,4,accumulation_2,4x7,
2.1,4,intensification_2,"5,4,3,2,1",
2.1,5,accumulation,3x9,
2.1,5,intensification,4x5,
2.1,5,accumulation_2,"9,8,7,6",
2.1,5,intensification_2,6x3,
2.1,6,accumulation,3x7,
2.1,6,intensification,5x3,
2.1,6,accumulation_2,4x6,
2.1,6,intensification_2,"3,3,3,2,2,2",
2.1,7,accumulation,4x8,
2.1,7,intensification,5x4,
2.1,7,accumulation_2,"7,7,5,5,12",
2.1,7,intensification_2,6x3,
2.1,8,accumulation,3x6,
2.1,8,intensification,"5,4,3,2,1",
2.1,8,accumulation_2,4x5,
2.1,8,intensification_2,7x2,
2.1,9,accumulation,4x10,
2.1,9,intensification,4x6,
2.1,9,accumulation_2,"10,10,8,8,8",
2.1,9,intensification_2,5x4,
2.1,10,accumulation,4x8,
2.1,10,intensification,5x4,
2.1,10,accumulation_2,"8,6,4,4,12",
2.1,10,intensification_2,6x3,
2.1,11,accumulation,5x9,
2.1,11,intensification,5x5,
2.1,11,accumulation_2,6x8,
2.1,11,intensification_2,"6,6,4,4,2,2",
2.1,12,accumulation,4x7,
2.1,12,intensification,6x3,
2.1,12,accumulation_2,5x6,
2.1,12,intensification_2,"5,3,3,2,2,1",
2.1,13,accumulation,3x8,
2.1,13,intensification,4x4,
2.1,13,accumulation_2,4x7,
2.1,13,intensification_2,"5,4,3,2,1",
2.1,14,accumulation,3x6,
2.1,14,intensification,"3,3,3,2,2,2",
2.1,14,accumulation_2,4x5,
2.1,14,intensification_2,7x2,
2.1,15,accumulation,"8,8,6,6",
